NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
69;VOURLES;DG385;DG385;07221X0028/CPT;9883;69268;AERM&C;208.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;07221X0028/CPT;4.75730221148;45.6492966885
69;VOURLES;DG385;DG385;07221X0029/CPT;9885;69268;AERM&C;206.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;07221X0029/CPT;4.7623278057;45.647745941
69;YZERON;DG611;;07213X0015/CPT;9888;69269;AERM&C;759.0;;Hors RCS et RCO;;;;;;;oui;;;;;;;07213X0015/CPT;4.59296434982;45.7085835878
70;AILLEVILLERS-ET-LYAUMONT;DG217;DG217;03757X0005/S;9931;70006;AERM&C;400.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;03757X0005/S;6.26920947136;47.9364634718
70;AMANCE;DG506;DG506;04094X0002/S;9932;70012;AERM&C;224.0;25;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04094X0002/S;6.05980000563;47.8123923899
70;AMBLANS-ET-VELOTTE;DG202;DG202;04424X0025/S;9934;70014;AERM&C;293.0;26;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;;;;;;;oui;;04424X0025/S;6.41072939854;47.6811913834
70;AMBLANS-ET-VELOTTE;DG217;DG217;04424X0020/S;9933;70014;AERM&C;293.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04424X0020/S;6.4310885395;47.6780128795
70;AMONCOURT;DG123;DG123;04098X0047/S1;9935;70015;AERM&C;230.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04098X0047/S1;6.07238145187;47.7294242996
70;AMONT-ET-EFFRENEY;DG618;DG618;03766X1003/S;9936;70016;AERM&C;430.0;0;Hors RCS et RCO;;;;;;oui;;;;;;;;03766X1003/S;6.57328921042;47.8838849774
70;ANGIREY;DG123;;04721X0020/F;9937;70022;AERM&C;237.0;;Hors RCS et RCO;;;;;;;oui;;;;;;;04721X0020/F;5.76539220176;47.4483552545
70;ARC-LES-GRAY;DG344;DG344;04713X0041/P;9938;70026;AERM&C;187.0;8.9;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04713X0041/P;5.60154334623;47.4571054171
70;AUGICOURT;DG506;;04096X0008/S1;9939;70035;AERM&C;244.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04096X0008/S1;5.88393701769;47.7652459559
70;AUTET;DG344;DG123;04408X0054/P;9941;70037;AERM&C;193.6;8;Hors RCS et RCO;;;;;;;;oui;;;;;;04408X0054/P;5.69458490772;47.5460316844
70;AUTET;DG344;DG344;04408X0013/P;9940;70037;AERM&C;195.0;;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui;04408X0013/P;5.70787824345;47.5248686962
70;AUVET-ET-LA-CHAPELOTTE;DG123;DG123;04712X0024/S;9943;70043;AERM&C;212.0;;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;04712X0024/S;5.54982030554;47.4888904932
70;AUVET-ET-LA-CHAPELOTTE;DG123;DG123;04712X0051/SCE;9942;70043;AERM&C;213.0;;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;oui;oui;oui;oui;04712X0051/SCE;5.49478823123;47.5288280253
70;BAIGNES;DG123;DG123;04418X0023/CN;9945;70047;AERM&C;220.0;17;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;oui;oui;oui;oui;04418X0023/CN;6.04278540506;47.5804571468
70;BAULAY;DG344;DG344;04097X0007/P1;9946;70056;AERM&C;215.0;8.5;Hors RCS et RCO;;;;;;oui;;;;;;;;04097X0007/P1;6.0124100757;47.7778377003
70;BEAUJEU-SAINT-VALLIER-PIERREJUX-ET-QUITTEUR;DG344;DG344;04713X0143/F;9947;70058;AERM&C;192.0;;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui;04713X0143/F;5.67125708313;47.5317787154
70;BEAUMOTTE-AUBERTANS;DG123;DG123;04731X0028/S;9948;70059;AERM&C;246.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04731X0028/S;6.15375275569;47.433115815
70;BEAUMOTTE-LES-PIN;DG123;;05021X0043/S;9949;70060;AERM&C;233.0;;Hors RCS et RCO;;;;;;;oui;;;;;;;05021X0043/S;5.84755633169;47.3127972727
70;BLONDEFONTAINE;DG202;DG202;03746X0001/S;9950;70074;AERM&C;270.0;;Hors RCS et RCO;;;;;;;oui;;;;;;;03746X0001/S;5.89327700038;47.8811933599
70;BONNEVENT-VELLOREILLE;DG123;DG123;04726X0023/S;9951;70076;AERM&C;274.0;;Hors RCS et RCO;;;;;;;oui;;;;;;;04726X0023/S;5.91482253506;47.4005077285
70;BOREY;DG123;DG123;04427X0010/S;9952;70077;AERM&C;322.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04427X0010/S;6.36839576464;47.5676159358
