;ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
9858;2012.0;02628X0009/FAEP;4.0;0.30325;0.643;239.0;283.0;2.0;5.0
9859;2012.0;02635X0005/PAEP;2.0;0.325;0.4;239.0;283.0;3.0;5.0
9860;2012.0;02636X0011/PAEP;4.0;0.0125;0.02;238.0;283.0;0.0;1.0
9861;2012.0;02637X0008/PAEP;4.0;0.085;0.12;239.0;283.0;1.0;3.0
9862;2012.0;02645X0030/FAEP2;1.0;0.05;0.05;277.0;277.0;2.0;2.0
9863;2012.0;02648X0024/SAEP;4.0;0.41525;0.76;277.0;277.0;3.0;8.0
9864;2012.0;02648X0027/SAEP;2.0;0.0;0.0;247.0;277.0;0.0;0.0
9865;2012.0;02654X0006/F3;2.0;0.011;0.019;277.0;277.0;1.0;3.0
9866;2012.0;02655X0028/P.AEP;2.0;0.006;0.007;277.0;277.0;1.0;1.0
9867;2012.0;02656X0010/PAEP;4.0;0.03975;0.097;277.0;277.0;1.0;4.0
9868;2012.0;02657X0005/SAEP;4.0;0.07175;0.129;277.0;277.0;2.0;4.0
9869;2012.0;02657X0030/F2;3.0;0.048;0.116;247.0;277.0;0.0;5.0
9870;2012.0;02661X0027/F;2.0;0.0375;0.07;277.0;277.0;1.0;1.0
9871;2012.0;02662X0009/F;2.0;0.011;0.014;277.0;277.0;1.0;2.0
9872;2012.0;02663X0005/HY;5.0;0.01;0.05;394.0;409.0;0.0;3.0
9873;2012.0;02664X0005/F1;4.0;0.042525;0.07;400.0;410.0;2.0;4.0
9874;2012.0;02665X0001/F1;1.0;0.047;0.047;277.0;277.0;3.0;3.0
9875;2012.0;02672X0035/F;5.0;0.0024;0.012;380.0;409.0;0.0;3.0
9876;2012.0;02673X0017/HY;6.0;0.1045;0.18;380.0;410.0;1.0;7.0
9877;2012.0;02677X0023/HY;5.0;0.0;0.0;394.0;409.0;0.0;0.0
9878;2012.0;02677X0026/HY;5.0;0.01;0.03;399.0;410.0;0.0;2.0
9879;2012.0;02684X0018/HY;4.0;0.0975;0.11;401.0;410.0;3.0;4.0
9880;2012.0;02684X0044/P2;4.0;0.0;0.0;394.0;409.0;0.0;0.0
9881;2012.0;02691X0006/F3;4.0;0.0;0.0;394.0;409.0;0.0;0.0
9882;2012.0;02691X0043/F;2.0;0.0;0.0;409.0;409.0;0.0;0.0
9883;2012.0;02697X0035/F2;3.0;0.0;0.0;379.0;409.0;0.0;0.0
9884;2012.0;02701X0016/F;2.0;0.0;0.0;409.0;409.0;0.0;0.0
9885;2012.0;02703X0041/HY;4.0;0.005;0.02;393.0;409.0;0.0;1.0
9886;2012.0;02704X0002/S;5.0;0.005;0.02;380.0;409.0;0.0;4.0
9887;2012.0;02706X0055/HY;4.0;0.005;0.02;393.0;409.0;0.0;1.0
9888;2012.0;02707X0030/HY;4.0;0.0325;0.1;394.0;409.0;0.0;1.0
9889;2012.0;02708X0021/HY;5.0;0.0;0.0;2.0;409.0;0.0;0.0
9890;2012.0;02712X0006/HY;4.0;0.0275;0.11;394.0;410.0;0.0;4.0
9891;2012.0;02714X0002/F;6.0;0.396666666667;0.7;7.0;410.0;1.0;4.0
9892;2012.0;02714X0061/F3;5.0;0.3046;0.413;68.0;410.0;4.0;7.0
9893;2012.0;02717X0017/S8;4.0;0.0;0.0;394.0;409.0;0.0;0.0
9894;2012.0;02717X0041/AMONT;5.0;0.024;0.1;2.0;409.0;0.0;2.0
9895;2012.0;02721X0021/F;4.0;0.0525;0.15;393.0;409.0;0.0;3.0
9896;2012.0;02721X0060/P2;4.0;0.0825;0.12;68.0;410.0;2.0;5.0
9897;2012.0;02722X0152/F;4.0;0.0075;0.03;394.0;409.0;0.0;1.0
9898;2012.0;02725X0001/F;5.0;0.0;0.0;68.0;409.0;0.0;0.0
9899;2012.0;02726X0002/F;9.0;0.0333333333333;0.14;10.0;410.0;0.0;5.0
9900;2012.0;02754X0001/HY;2.0;0.049;0.053;279.0;281.0;1.0;1.0
9901;2012.0;02791X0053/HY;6.0;0.0;0.0;3.0;281.0;0.0;0.0
9902;2012.0;02793X0044/P1;3.0;0.0;0.0;279.0;281.0;0.0;0.0
9903;2012.0;02808X0017/HY;3.0;0.0;0.0;3.0;305.0;0.0;0.0
9904;2012.0;02822X0004/P1;5.0;0.0092;0.046;15.0;281.0;0.0;1.0
9905;2012.0;02827X0013/P;5.0;0.0388;0.05;16.0;281.0;1.0;2.0
9906;2012.0;02832X0009/P;2.0;0.066;0.079;279.0;281.0;2.0;2.0
9907;2012.0;02855X0005/P;2.0;0.0345;0.038;279.0;281.0;1.0;1.0
9908;2012.0;02855X0008/P5;2.0;0.0;0.0;279.0;281.0;0.0;0.0
9909;2012.0;02865X0001/P;2.0;0.283;0.566;279.0;281.0;0.0;2.0
9910;2012.0;02877X0003/F;7.0;0.589857142857;0.8;107.0;330.0;3.0;6.0
9911;2012.0;02883X0010/C1;4.0;0.08325;0.105;279.0;281.0;2.0;4.0
9912;2012.0;02906X0004/FAEP;5.0;0.0;0.0;279.0;356.0;0.0;0.0
9913;2012.0;02915X0003/PFAEP;6.0;0.1455;0.158;93.0;356.0;2.0;3.0
9914;2012.0;02923X0036/F;4.0;0.338;0.833;234.0;278.0;5.0;11.0
9915;2012.0;02925X0002/F;1.0;0.204;0.204;277.0;277.0;6.0;6.0
9916;2012.0;02944X0031/P16;3.0;0.0733333333333;0.09;239.0;283.0;2.0;3.0
9917;2012.0;02946X0007/P1;4.0;0.29775;0.341;177.0;283.0;3.0;6.0
9918;2012.0;02948X0072/F1;4.0;0.23575;0.27;239.0;283.0;4.0;4.0
9919;2012.0;02951X0079/F;4.0;0.2405;0.32;239.0;283.0;4.0;11.0
9920;2012.0;02952X0154/F2;8.0;0.089875;0.28;2.0;283.0;0.0;6.0
9921;2012.0;02953X0108/F;5.0;0.0668;0.25;177.0;283.0;1.0;4.0
9922;2012.0;02954X0058/P1;3.0;0.22;0.58;177.0;283.0;1.0;7.0
9923;2012.0;02954X1001/F;5.0;0.1798;0.249;234.0;306.0;3.0;9.0
9924;2012.0;02958X0112/AEP;3.0;0.033;0.049;234.0;283.0;1.0;3.0
9925;2012.0;02961X0001/P1;3.0;0.02;0.03;178.0;283.0;1.0;2.0
9926;2012.0;02963X0006/FAEP;3.0;0.057;0.09;239.0;421.0;3.0;5.0
9927;2012.0;02965X0001/PUITS;9.0;0.173888888889;0.27;236.0;283.0;2.0;5.0
9928;2012.0;02976X0017/FAEP;4.0;0.19775;0.387;239.0;283.0;2.0;11.0
9929;2012.0;02981X0056/FEXP;2.0;0.02;0.04;239.0;283.0;0.0;2.0
9930;2012.0;02982X0012/PAEP;4.0;0.02425;0.047;239.0;283.0;1.0;3.0
9931;2012.0;02986X0099/PAEP;7.0;0.0801428571429;0.278;239.0;421.0;1.0;10.0
9932;2012.0;02993X0112/P2;4.0;0.01725;0.032;238.0;283.0;1.0;2.0
9933;2012.0;02998X0035/PS2;4.0;0.11;0.3;239.0;283.0;1.0;5.0
9934;2012.0;03004X0004/SAEP;4.0;0.12225;0.156;277.0;277.0;2.0;8.0
9935;2012.0;03008X0022/SAEPS;2.0;0.082;0.159;277.0;277.0;1.0;5.0
9936;2012.0;03011X0004/PAEP;2.0;0.061;0.096;277.0;277.0;3.0;4.0
9937;2012.0;03015X0004/PFAEP;2.0;0.039;0.068;277.0;277.0;1.0;4.0
9938;2012.0;03018X0002/SAEP5;4.0;0.25575;0.876;277.0;277.0;1.0;11.0
9939;2012.0;03023X0007/HY;5.0;0.0;0.0;379.0;409.0;0.0;0.0
9940;2012.0;03024X0024/D;5.0;0.068;0.14;394.0;410.0;0.0;3.0
9941;2012.0;03024X0037/P;4.0;0.05675;0.144;394.0;409.0;0.0;3.0
9942;2012.0;03025X0032/SAEP2;5.0;0.004;0.02;394.0;409.0;0.0;1.0
9943;2012.0;03028X0013/HY;5.0;0.004;0.02;394.0;409.0;0.0;1.0
9944;2012.0;03031X0013/HY;5.0;0.006;0.03;399.0;409.0;0.0;1.0
