;CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014
10906;00583X0022/F;76136;BRACHY;76;AESN;42.0;15;76136_FRHG218_FRHG203;550843.980899;6969554.2075;;HG203;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10907;00598X0061/HY;76147;BULLY;76;AESN;126.08;10;76147_FRHG218_FRHG204;579815.171599;6959593.8203;;HG204;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;;;;;;
10908;00574X0146/F2-94;76159;CANY-BARVILLE;76;AESN;21.0;25;76159_FRHG218_FRHG203;528339.292498;6965386.8661;;HG203;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10909;00574X0138/F;76159;CANY-BARVILLE;76;AESN;20.0;30.4;76159_FRHG218_FRHG203;529263.320398;6965313.6487;HG203;HG203;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui
10910;00574X0147/F3;76159;CANY-BARVILLE;76;AESN;21.0;25;76159_FRHG218_FRHG203;529835.029698;6965193.5782;;HG203;Hors RCS et RCO;;;;;;oui;;;;;;;
10911;00756X0082/HY;76169;LA CERLANGUE;76;AESN;4.0;;76169_FRHG218_FRHG202;513227.238098;6936786.4113;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;
10912;00753X0001/F;76181;CLEVILLE;76;AESN;142.0;58;76181_FRHG218_FRHG203;527085.454898;6948725.0368;;HG203;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10913;00575X0044/F;76183;COLLEVILLE;76;AESN;35.0;40;76183_FRHG218_FRHG203;517353.743598;6963665.2886;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10914;00433X0009/F;76192;CRIEL-SUR-MER;76;AESN;12.0;30;76192_FRHG218_FRHG204;580444.105799;6990515.2345;;HG204;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10915;01001D0151/HY;76212;DARNETAL;76;AESN;25.0;;76212_FRHG218_FRHG202;567147.168199;6928501.5506;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10916;01001D0065/F;76212;DARNETAL;76;AESN;35.12;32.51;76212_FRHG218_FRHG202;566573.438099;6927769.0798;;HG202;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10917;01001D0152/HY;76212;DARNETAL;76;AESN;25.0;;76212_FRHG218_FRHG202;566020.836399;6929727.5512;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10918;01013X0042/HY;76229;ELBEUF-EN-BRAY;76;AESN;127.0;;76229_FRHG218_FRHG201;600553.669199;6932094.4517;;HG201;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10919;01234X0311/AEP;76231;ELBEUF;76;AESN;25.0;35;76231_FRHG218_FRHG202;552757.251499;6911042.9455;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10920;00436X0151/P;76235;ENVERMEU;76;AESN;30.0;13.4;76235_FRHG218_FRHG204;577078.401199;6978108.9512;;HG204;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
10921;00754X0005/F;76236;ENVRONVILLE;76;AESN;84.0;25;76236_FRHG218_FRHG203;532646.440498;6953509.4156;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;
10922;00598X0065/HY;76244;ESCLAVELLES;76;AESN;135.0;;76244_FRHG218_FRHG204;583700.306599;6957348.7804;;HG204;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10923;00567X0040/HY;76254;ETRETAT;76;AESN;4.0;;76254_FRHG218_FRHG203;498985.860098;6960806.9063;HG203;HG203;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;;;;
10924;00753X0050/F;76258;FAUVILLE-EN-CAUX;76;AESN;124.0;60;76258_FRHG218_FRHG203;527236.916198;6953819.3452;HG203;HG203;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui
10925;00575X0137/HY;76259;FECAMP;76;AESN;18.0;;76259_FRHG218_FRHG203;511192.884398;6961977.7679;HG203;HG203;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui
10926;00575X0165/F;76259;FECAMP;76;AESN;13.0;26.5;76259_FRHG218_FRHG203;511224.000398;6966414.8838;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10927;00746X0062/HY;76270;FONTAINE-LA-MALLET;76;AESN;26.0;8;76270_FRHG218_FRHG202;492175.846298;6941300.6617;HG202;HG202;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;;
10928;00775X0092/F12;76271;FONTAINE-LE-BOURG;76;AESN;78.0;28.2;76271_FRHG218_FRHG202;563762.336199;6941295.3052;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;
10929;00775X0091/F13;76271;FONTAINE-LE-BOURG;76;AESN;78.0;28;76271_FRHG218_FRHG202;567523.386199;6942713.741;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;
10930;00776X0087/F8;76271;FONTAINE-LE-BOURG;76;AESN;88.0;35;76271_FRHG218_FRHG202;567715.478799;6942672.0186;;HG202;Hors RCS et RCO;;;;;;oui;oui;;;;;;
10931;00775X0089/F11;76271;FONTAINE-LE-BOURG;76;AESN;83.0;35.5;76271_FRHG218_FRHG202;565589.708699;6942096.3112;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;
10932;00776X0088/F7;76271;FONTAINE-LE-BOURG;76;AESN;92.0;30.3;76271_FRHG218_FRHG202;567951.934399;6943702.2264;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;
10933;00775X0087/F10;76271;FONTAINE-LE-BOURG;76;AESN;89.0;43;76271_FRHG218_FRHG202;567661.912499;6941958.7;;HG202;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;
10934;01001B0153/HY;76273;FONTAINE-SOUS-PREAUX;76;AESN;67.0;5.15;76273_FRHG218_FRHG202;568452.830999;6934785.8763;HG202;HG202;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui
10935;01001B0154/HY;76273;FONTAINE-SOUS-PREAUX;76;AESN;68.45;4.7;76273_FRHG218_FRHG202;568198.356499;6932999.0507;;HG202;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10936;01001B0155/HY;76273;FONTAINE-SOUS-PREAUX;76;AESN;69.0;4.7;76273_FRHG218_FRHG202;567136.335399;6933721.9807;;HG202;Hors RCS et RCO;;;;;;;oui;oui;;;;;
